,Unnamed: 0_df1,class_df1,0_df1,1_df1,2_df1,3_df1,4_df1,image_id,conf_score_df1,iou_score_df1,predicted_class_df1,ispion_df1,ispionpred_df1,result_df1,detected_df1,id,Unnamed: 0_df2,class_df2,0_df2,1_df2,2_df2,3_df2,4_df2,conf_score_df2,iou_score_df2,predicted_class_df2,ispion_df2,ispionpred_df2,result_df2,detected_df2,difference
0,0,4,0.0,0.0010000000474974,0.0,0.0,0.9980000257492064,0,0.9762529730796814,1.0,4,1,1,TP,1,0,0,4,0.0018448942573741,0.012228931300342,0.0033567051868885,0.0249946471303701,0.8112295866012573,0.8112295866012573,0.6000000238418579,4,1,1,TP,1,1.2302312960877648
1,12,4,0.0,0.0010000000474974,0.0,0.0,0.9959999918937684,4,0.9699500203132628,0.8,4,1,1,TP,1,0,12,4,0.0026553173083812,0.0106833903118968,0.2938899397850036,0.0636263191699981,0.4079907536506653,0.4079907536506653,0.5,4,1,1,TP,1,2.4412317754303214
2,15,4,0.0,0.0,0.0010000000474974,0.0,0.996999979019165,5,0.9539350271224976,0.7,4,1,1,TP,1,0,15,4,0.0001092681704903,0.0027828265447169,0.2335966527462005,0.0006111866096034,0.7290390729904175,0.7290390729904175,0.5384615659713745,4,1,1,TP,1,1.3675535591386192
3,55,4,0.0,0.0040000001899898,0.0,0.0,0.9900000095367432,19,0.9165819883346558,0.8571428571428571,4,1,1,TP,1,0,59,4,0.0068925828672945,0.789302408695221,0.0056307390332221,0.0056801568716764,0.1788146644830703,0.789302408695221,0.5,1,1,0,FN,1,5.536458726126871
4,79,4,0.0,0.0040000001899898,0.0020000000949949,0.0,0.9919999837875366,26,0.9364680051803588,0.7777777777777778,4,1,1,TP,1,0,83,4,0.010299022309482,0.0586782991886138,0.19613778591156,0.0277325380593538,0.6117926239967346,0.6117926239967346,0.5384615659713745,4,1,1,TP,1,1.6214644388926653
5,94,4,0.0,0.0,0.0010000000474974,0.0,0.9850000143051147,30,0.9313349723815918,0.7142857142857143,4,1,1,TP,1,0,98,4,0.0023972853086888,0.0048828213475644,0.0048110070638358,0.0220515746623277,0.7733106017112732,0.7733106017112732,0.6363636255264282,4,1,1,TP,1,1.2737443559229502
6,123,4,0.0,0.0,0.0040000001899898,0.0010000000474974,0.9300000071525574,38,0.9060919880867004,1.0,4,1,1,TP,1,0,127,4,0.0052725938148796,0.0130417766049504,0.4321879744529724,0.0964643880724906,0.3893816173076629,0.4321879744529724,0.6666666865348816,2,1,0,FN,1,2.3884024458651694
7,126,4,0.0,0.0,0.0,0.0,0.996999979019165,39,0.9637110233306884,1.0,4,1,1,TP,1,0,130,4,0.0056769265793263,0.0222248267382383,0.2405955046415329,0.0795198827981948,0.5471832156181335,0.5471832156181335,0.5,4,1,1,TP,1,1.8220587740303573
8,141,4,0.0,0.0,0.0010000000474974,0.0,0.9710000157356262,44,0.9417399764060974,1.0,4,1,1,TP,1,0,145,4,0.0021261789370328,0.0055115413852036,0.2025196850299835,0.0362613834440708,0.6032906770706177,0.6032906770706177,0.5,4,1,1,TP,1,1.609506084944798
9,153,4,0.0,0.0,0.0,0.0,0.9959999918937684,49,0.9701849818229676,0.875,4,1,1,TP,1,0,157,4,0.0003462462918832,0.0031809424981474,0.0673261433839798,0.0034176169428974,0.8369190692901611,0.8369190692901611,0.6451612710952759,4,1,1,TP,1,1.1900792184584024
