CMDLINE /wclustre/nova/users/rafaelma2/venv385/bin/python bigo.py
MEM 3.851562 1718504685.4224
MEM 21.242188 1718504685.5227
MEM 28.058594 1718504685.6229
MEM 36.542969 1718504685.7232
MEM 40.515625 1718504685.8235
MEM 45.175781 1718504685.9238
MEM 58.492188 1718504686.0241
MEM 69.039062 1718504686.1244
MEM 75.867188 1718504686.2248
MEM 83.621094 1718504686.3251
MEM 91.035156 1718504686.4255
MEM 99.121094 1718504686.5258
MEM 104.808594 1718504686.6261
MEM 114.523438 1718504686.7264
MEM 125.980469 1718504686.8267
MEM 136.843750 1718504686.9271
MEM 145.769531 1718504687.0274
MEM 152.574219 1718504687.1278
MEM 158.558594 1718504687.2281
MEM 169.601562 1718504687.3285
MEM 173.769531 1718504687.4288
MEM 176.507812 1718504687.5292
MEM 184.179688 1718504687.6294
MEM 189.046875 1718504687.7297
MEM 194.375000 1718504687.8300
MEM 199.449219 1718504687.9304
MEM 202.882812 1718504688.0307
MEM 206.128906 1718504688.1310
MEM 207.148438 1718504688.2314
MEM 209.597656 1718504688.3318
MEM 210.917969 1718504688.4322
MEM 212.167969 1718504688.5325
MEM 212.800781 1718504688.6328
MEM 216.441406 1718504688.7331
MEM 219.628906 1718504688.8335
MEM 223.984375 1718504688.9338
MEM 227.328125 1718504689.0342
MEM 231.773438 1718504689.1345
MEM 235.464844 1718504689.2348
MEM 239.378906 1718504689.3352
MEM 240.410156 1718504689.4356
MEM 243.183594 1718504689.5359
MEM 248.441406 1718504689.6363
MEM 254.425781 1718504689.7366
MEM 256.246094 1718504689.8371
MEM 257.281250 1718504689.9374
MEM 259.023438 1718504690.0377
MEM 261.894531 1718504690.1380
MEM 263.496094 1718504690.2384
MEM 267.542969 1718504690.3387
MEM 267.542969 1718504690.4390
MEM 268.484375 1718504690.5399
MEM 268.734375 1718504690.6402
MEM 271.238281 1718504690.7405
MEM 272.488281 1718504690.8408
MEM 273.691406 1718504690.9411
MEM 275.375000 1718504691.0415
MEM 278.761719 1718504691.1419
MEM 282.230469 1718504691.2422
MEM 290.070312 1718504691.3426
MEM 292.414062 1718504691.4431
MEM 295.250000 1718504691.5434
MEM 298.382812 1718504691.6437
MEM 298.382812 1718504691.7441
MEM 299.097656 1718504691.8444
MEM 299.339844 1718504691.9447
MEM 300.097656 1718504692.0450
MEM 303.277344 1718504692.1454
MEM 303.886719 1718504692.2458
MEM 307.894531 1718504692.3461
MEM 311.625000 1718504692.4464
MEM 313.312500 1718504692.5468
MEM 318.343750 1718504692.6471
MEM 319.847656 1718504692.7475
MEM 320.617188 1718504692.8478
MEM 321.347656 1718504692.9481
MEM 322.800781 1718504693.0484
MEM 324.113281 1718504693.1487
MEM 324.710938 1718504693.2489
MEM 324.863281 1718504693.3492
MEM 325.019531 1718504693.4495
MEM 325.812500 1718504693.5497
MEM 329.183594 1718504693.6500
MEM 330.140625 1718504693.7503
MEM 331.343750 1718504693.8506
MEM 331.531250 1718504693.9509
MEM 332.093750 1718504694.0512
MEM 333.437500 1718504694.1515
MEM 335.308594 1718504694.2518
MEM 337.832031 1718504694.3522
MEM 340.808594 1718504694.4525
MEM 343.679688 1718504694.5528
MEM 348.863281 1718504694.6531
MEM 353.445312 1718504694.7535
MEM 356.898438 1718504694.8538
MEM 357.296875 1718504694.9542
MEM 358.968750 1718504695.0545
MEM 362.183594 1718504695.1549
MEM 368.242188 1718504695.2552
MEM 370.777344 1718504695.3555
MEM 377.468750 1718504695.4558
MEM 381.148438 1718504695.5562
MEM 384.347656 1718504695.6565
MEM 397.484375 1718504695.7569
MEM 397.613281 1718504695.8572
MEM 397.613281 1718504695.9576
MEM 397.656250 1718504696.0580
MEM 396.921875 1718504696.1584
MEM 397.656250 1718504696.2588
MEM 398.496094 1718504696.3592
MEM 0.000000 1718504696.4596
