CMDLINE /work1/nova/achriste/conda/mlinstseg/bin/python model_profile.py
MEM 4.636719 1718159945.1666
MEM 8.714844 1718159945.2669
MEM 8.773438 1718159945.3672
MEM 18.492188 1718159945.4675
MEM 22.707031 1718159945.5678
MEM 29.226562 1718159945.6682
MEM 34.781250 1718159945.7686
MEM 40.867188 1718159945.8690
MEM 41.898438 1718159945.9693
MEM 42.089844 1718159946.0696
MEM 42.218750 1718159946.1701
MEM 47.566406 1718159946.2704
MEM 47.566406 1718159946.3709
MEM 48.132812 1718159946.4712
MEM 49.640625 1718159946.5715
MEM 52.000000 1718159946.6718
MEM 53.195312 1718159946.7721
MEM 64.753906 1718159946.8724
MEM 137.566406 1718159946.9729
MEM 151.808594 1718159947.0732
MEM 155.355469 1718159947.1735
MEM 158.878906 1718159947.2738
MEM 165.511719 1718159947.3741
MEM 168.910156 1718159947.4745
MEM 170.062500 1718159947.5749
MEM 175.109375 1718159947.6752
MEM 177.710938 1718159947.7755
MEM 179.535156 1718159947.8758
MEM 181.683594 1718159947.9761
MEM 184.808594 1718159948.0764
MEM 188.839844 1718159948.1767
MEM 190.339844 1718159948.2770
MEM 193.894531 1718159948.3775
MEM 195.136719 1718159948.4778
MEM 196.234375 1718159948.5782
MEM 197.308594 1718159948.6785
MEM 199.402344 1718159948.7788
MEM 201.128906 1718159948.8791
MEM 203.371094 1718159948.9794
MEM 203.550781 1718159949.0798
MEM 205.031250 1718159949.1801
MEM 205.585938 1718159949.2804
MEM 207.500000 1718159949.3807
MEM 209.199219 1718159949.4811
MEM 209.335938 1718159949.5814
MEM 209.460938 1718159949.6817
MEM 210.937500 1718159949.7820
MEM 215.851562 1718159949.8823
MEM 217.769531 1718159949.9826
MEM 218.855469 1718159950.0829
MEM 222.078125 1718159950.1833
MEM 224.753906 1718159950.2843
MEM 226.492188 1718159950.3847
MEM 226.492188 1718159950.4851
MEM 226.492188 1718159950.5854
MEM 226.492188 1718159950.6857
MEM 226.730469 1718159950.7860
MEM 227.464844 1718159950.8864
MEM 227.718750 1718159950.9867
MEM 232.867188 1718159951.0870
MEM 233.628906 1718159951.1873
MEM 233.628906 1718159951.2877
MEM 233.628906 1718159951.3880
MEM 233.628906 1718159951.4883
MEM 233.628906 1718159951.5886
MEM 233.628906 1718159951.6889
MEM 233.628906 1718159951.7893
MEM 233.628906 1718159951.8896
MEM 233.628906 1718159951.9899
MEM 233.628906 1718159952.0903
MEM 233.628906 1718159952.1907
MEM 234.128906 1718159952.2910
MEM 234.179688 1718159952.3915
MEM 234.519531 1718159952.4918
MEM 234.523438 1718159952.5922
MEM 235.296875 1718159952.6924
MEM 236.257812 1718159952.7927
MEM 237.503906 1718159952.8931
MEM 237.777344 1718159952.9933
MEM 239.105469 1718159953.0937
MEM 239.507812 1718159953.1940
MEM 240.160156 1718159953.2943
MEM 240.839844 1718159953.3947
MEM 241.253906 1718159953.4950
MEM 241.687500 1718159953.5954
MEM 241.867188 1718159953.6957
MEM 242.089844 1718159953.7960
MEM 242.089844 1718159953.8963
MEM 242.339844 1718159953.9967
MEM 242.671875 1718159954.0970
MEM 242.671875 1718159954.1974
MEM 242.917969 1718159954.2977
MEM 243.171875 1718159954.3981
MEM 243.171875 1718159954.4985
MEM 244.265625 1718159954.5988
MEM 244.753906 1718159954.6992
MEM 245.656250 1718159954.7995
MEM 246.257812 1718159954.8998
MEM 246.769531 1718159955.0001
MEM 247.195312 1718159955.1004
MEM 247.195312 1718159955.2007
MEM 247.195312 1718159955.3011
MEM 247.562500 1718159955.4015
MEM 247.562500 1718159955.5018
MEM 248.078125 1718159955.6022
MEM 248.078125 1718159955.7025
MEM 248.078125 1718159955.8029
MEM 248.078125 1718159955.9032
MEM 248.078125 1718159956.0035
MEM 248.078125 1718159956.1038
MEM 248.078125 1718159956.2042
MEM 248.078125 1718159956.3045
MEM 248.078125 1718159956.4050
MEM 248.078125 1718159956.5053
MEM 248.078125 1718159956.6057
MEM 248.078125 1718159956.7060
MEM 248.332031 1718159956.8063
MEM 248.332031 1718159956.9067
MEM 248.332031 1718159957.0070
MEM 248.332031 1718159957.1073
MEM 248.332031 1718159957.2076
MEM 248.332031 1718159957.3080
MEM 248.335938 1718159957.4083
MEM 248.707031 1718159957.5086
MEM 249.011719 1718159957.6089
MEM 249.292969 1718159957.7093
MEM 249.542969 1718159957.8096
MEM 249.597656 1718159957.9100
MEM 250.070312 1718159958.0103
MEM 251.187500 1718159958.1106
MEM 251.492188 1718159958.2110
MEM 252.007812 1718159958.3113
MEM 252.386719 1718159958.4117
MEM 252.828125 1718159958.5120
MEM 253.007812 1718159958.6124
MEM 253.781250 1718159958.7127
MEM 254.113281 1718159958.8130
MEM 254.976562 1718159958.9134
MEM 255.593750 1718159959.0137
MEM 256.527344 1718159959.1140
MEM 257.476562 1718159959.2143
MEM 257.757812 1718159959.3147
MEM 257.988281 1718159959.4150
MEM 258.335938 1718159959.5153
MEM 259.601562 1718159959.6156
MEM 259.921875 1718159959.7160
MEM 260.433594 1718159959.8163
MEM 260.562500 1718159959.9166
MEM 260.902344 1718159960.0170
MEM 260.902344 1718159960.1173
MEM 261.023438 1718159960.2177
MEM 261.335938 1718159960.3180
MEM 263.191406 1718159960.4184
FUNC __main__.load_dataset 340.0117 1718159963.6426 340.2539 1718159963.6432 0
MEM 263.359375 1718159960.5189
MEM 268.820312 1718159960.6192
MEM 269.171875 1718159960.7196
MEM 269.917969 1718159960.8199
MEM 276.652344 1718159960.9202
MEM 276.652344 1718159961.0206
MEM 276.652344 1718159961.1209
MEM 276.785156 1718159961.2213
MEM 277.046875 1718159961.3216
MEM 281.960938 1718159961.4219
MEM 285.277344 1718159961.5222
MEM 285.914062 1718159961.6226
MEM 286.167969 1718159961.7229
MEM 287.246094 1718159961.8232
MEM 288.429688 1718159961.9236
MEM 290.625000 1718159962.0239
MEM 291.714844 1718159962.1243
MEM 292.226562 1718159962.2246
MEM 293.042969 1718159962.3249
MEM 295.468750 1718159962.4253
MEM 297.425781 1718159962.5256
MEM 298.320312 1718159962.6260
MEM 302.617188 1718159962.7263
MEM 305.695312 1718159962.8266
MEM 306.734375 1718159962.9269
MEM 330.046875 1718159963.0273
MEM 331.078125 1718159963.1276
MEM 334.320312 1718159963.2279
MEM 335.339844 1718159963.3282
MEM 337.433594 1718159963.4285
MEM 338.933594 1718159963.5288
MEM 339.917969 1718159963.6291
MEM 340.375000 1718159963.7294
MEM 340.722656 1718159963.8298
MEM 340.496094 1718159963.9301
MEM 340.261719 1718159964.0304
